4M,5M,1+4M,1+5M,2+4M,2+5M,3+4M,3+5M,4+5M,P8,A9,1+P8,1+A9,2+P8,2+A9,4-10M,5-12M,NC (8+)
,,,E': L/S',,U R': U'/M',,,,"M', U' R' U","U': L E' L', U'","U: R' F' R, S'","l U2: l E' l', U",,,,,
,,,E: R/S,,L U: L/S',,,,"U L U', M","U2: L E' L', U","U: S', R' F' R","r' U: r' E r, U",,,,,
,,,E: R'/S,,L U: L'/S',,,,"M, U L U'","u': L E' L', U","U': L' B' L, S","r' U2: r' E r, U'",,,,,
,,,E': R/E',,R' U': R'/S,,,,"U' R' U, M","E: L E' L', U'","U': S, L' B' L","L F2: L' S' L, F'",,,,,
,,,E': R'/E',,l F': L'/S',,,,"M, U' R' U","u: R' E R, U'","U: R B R', S'","L F: L' S' L, F",,,,,
,,,E: L'/E,,l F': L/S',,,,"M2, U' R' U","E': R' E R, U","U: S', R B R'","R' F2: R S R', F",,,,,
,,,E: L/E,,l U': L/S',,,,"U' R' U, M2","U: R' E' R, U","U': S', L' F L","R' F': R S R', F'",,,,,
,,,l': U'/M',,r' U: R'/S,,,,"U', L E L'","U2: R' E' R, U'","U': L' F L, S'","l U': l' E l, U'",,,,,
,,,l': U/M',,L u': L/E',,,,"L E L', U'","U': L E L', U'","U: S, R F' R'","l U2: l' E l, U",,,,,
,,,D': R'/E,,L u': L'/E',,,,"U, R' E' R","U2: L E L', U","U: R F' R', S","r' U: r E' r', U",,,,,
,,,D': R/E,,R' u: R'/E,,,,"R' E' R, U","M: U, L E' L'","D: R' B' R, S'","r' U: U, r E' r'",,,,,
,,,R: U'/M,,R' u: R/E,,,,"U', L' E2 L","M: L E' L', U","D: S', R' B' R","r' U2: L E' L', U",,,,,
,,,D: L'/E',,M' R': U'/M,,,,"L' E2 L, U'","M: U', R' E R","D': R' B' R, S'","r' U': L E' L', U'",,,,,
,,,u2: L'/E,,R' M': U/M,,,,"U, R E2 R'","r': E, R U' R'","D': S', R' B' R","l U2: R' E R, U'",,,,,
,,,u2: L/E,,L M': U/M,,,,"R E2 R', U","M: U, l' E l","D: R' F' R, S","R' u: R U' R', E",,,,,
,,,u2: R/E',,L M': U'/M,,,,"l F' l', S'","M: l' E l, U","D: S, R' F' R","L u': L' U L, E'",,,,,
,,,u2: R'/E',,l U': R'/E,,,,"S', l F' l'","R: R E' R', U","D': R' F' R, S","L U': L' U L, E",,,,,
,,,D: R'/E,,l U': R/E,,,,"r' F r, S","R: U, R E' R'","D': S, R' F' R","L2 u: L' U' L, E",,,,,
,,,D: R/E,,r' U: L/E',,,,"S, r' F r","L': L' E L, U'","D: S', L F L'","L2 U: L' U' L, E'",,,,,
