P8,A9,10M,1+A9,2+P8,2+A9,3+P8,3+A9,4+P8,4+A9,Cyclic Shift,5ins,7ins
,,,"U' R: U', R D' R'",,"U D R: R D' R', U'",,,,,,,
,,,F: D/R U R',,"U D R: U', R D' R'",,,,,,,
,,,F: D'/R U R',,D' R': D/R U R',,,,,,,
,,,"D2 R': R' D R, U'",,D' R': D'/R U R',,,,,,,
,,,"D2 R': U', R' D R",,R' U: D'/R U' R',,,,,,,
,,,"U2 R': R' D R, U",,R' U: D/R U' R',,,,,,,
,,,"U2 R': U, R' D R",,R' D: U/R D' R',,,,,,,
,,,"D R': U', R' D R",,R' D: U'/R D' R',,,,,,,
,,,"D R': R' D R, U'",,D R': U/R D' R',,,,,,,
,,,"U' R: R D' R', U",,D R': U'/R D' R',,,,,,,
,,,"U' R: U, R D' R'",,R' D': U'/R D R',,,,,,,
,,,"F R: U2, R D' R'",,R' D': U/R D R',,,,,,,
,,,"F R: R D' R', U2",,"R' U R: R D' R', U2",,,,,,,
,,,"D R: D, R U' R'",,"R' U R: U2, R D' R'",,,,,,,
,,,"D R: R U' R', D",,"R' U D2: R U' R', D'",,,,,,,
,,,R: U/R D R',,"R' U D: R U' R', D",,,,,,,
,,,R: U'/R D R',,"R' U R: D2, R U' R'",,,,,,,
,,,"U D2: R U R', D'",,"R' U R: R U' R', D2",,,,,,,
,,,"U D: R U R', D",,"R' U R: D, R U' R'",,,,,,,
,,,U': D'/R' U R,,"R' U R: R U' R', D",,,,,,,
,,,U': D/R' U R,,U R': D/R U R',,,,,,,
,,,"U' R': D', R' U R",,U R': D'/R U R',,,,,,,
,,,"U' R': R' U R, D'",,D' R: D'/R' U R,,,,,,,
,,,R': D/R U R',,D' R: D/R' U R,,,,,,,
,,,"R' D': R U R', D2",,D' R2: U'/R D' R',,,,,,,
,,,"D2 R': R' D R, U",,D' R2: U/R D' R',,,,,,,
,,,"D2 R': U, R' D R",,D R: D/R' U R,,,,,,,
,,,U: D/R U R',,D R: D'/R' U R,,,,,,,
,,,U: D'/R U R',,"U D R': R' D R, U",,,,,,,
,,,"U' R': D2, R' U R",,"U D R': U, R' D R",,,,,,,
,,,"U' R': R' U R, D2",,"U R' D': R U R', D'",,,,,,,
,,,R': U/R D R',,"U R' D2: R U R', D",,,,,,,
,,,R': U'/R D R',,R U: D'/R' U' R,,,,,,,
,,,"D R': R' D R, U",,R U: D/R' U' R,,,,,,,
,,,"D R': U, R' D R",,"U D' R': R' D R, U",,,,,,,
,,,"R' D': R U R', D'",,"U D' R': U, R' D R",,,,,,,
,,,"R' D2: R U R', D",,"R U R': U', R' D R",,,,,,,
,,,"U R: R D' R', U'",,"R U R': R' D R, U'",,,,,,,
,,,"U R: U', R D' R'",,R' U: D'/R U R',,,,,,,
,,,R': U'/R D' R',,R' U: D/R U R',,,,,,,
,,,R': U/R D' R',,"R' F D2: R U' R', D",,,,,,,
,,,"D' R': R' D R, U2",,"R' F D': R U' R', D'",,,,,,,
,,,"D' R': U2, R' D R",,"R' D' R: D2, R U R'",,,,,,,
,,,"D' R': R' D2 R, U",,l' U': D/R U R',,,,,,,
,,,"D' R': U, R' D2 R",,l' U': D'/R U R',,,,,,,
,,,"D' R': R' D R, U",,"R' U D2: R U R', D'",,,,,,,
,,,"D' R': U, R' D R",,"R' U D: R U R', D",,,,,,,
,,,R: U'/R D' R',,,,,,,,,
,,,R: U/R D' R',,,,,,,,,
,,,R: D'/R' U R,,,,,,,,,
,,,R: D/R' U R,,,,,,,,,
,,,U': D/R U' R',,,,,,,,,
,,,U': D'/R U' R',,,,,,,,,
,,,"U' D: R U' R', D",,,,,,,,,
,,,"U' D2: R U' R', D'",,,,,,,,,
,,,"R' U: R' D R, U",,,,,,,,,
,,,"R' U2: R' D R, U'",,,,,,,,,
,,,"U' R: D, R U' R'",,,,,,,,,
,,,"U' R: R U' R', D",,,,,,,,,
,,,"R D2: R' U R, D'",,,,,,,,,
,,,"R D: R' U R, D",,,,,,,,,
,,,"D' R': D', R' U R",,,,,,,,,
,,,"D' R': R' U R, D'",,,,,,,,,
,,,U: D/R' U' R,,,,,,,,,
,,,U: D'/R' U' R,,,,,,,,,
,,,"D2 R': D', R' U R",,,,,,,,,
,,,"D2 R': R' U R, D'",,,,,,,,,
,,,"U R': R' D2 R, U",,,,,,,,,
,,,"U R': U, R' D2 R",,,,,,,,,
,,,"U R': R' D R, U",,,,,,,,,
,,,"U R': U, R' D R",,,,,,,,,
